CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Total_with_cancer,Invasive_total,Non_or_micro_invasive,Cancer_non_microinvasive,Cancer_microinvasive,Small_invasive,Invasive_not_known,Invasive_lessthan10mm,Invasive_10mmto15mm,Invasive_15mmto20mm,Invasive_20mmto50mm,Invasive_50mmplus,Invasive_unknown,Rate_with_cancer,Rate_non_or_micro_invasive,Rate_small_invasive,Percent_small_invasive
2012-13,E92000001,England,England,National,45 and over,A,2796,1937,857,829,28,862,2,430,432,378,576,47,74,7.53728205,2.310247037,2.323725725,44.50180692
2012-13,E92000001,England,England,National,45 and over,A to F2,16432,12873,3530,3395,135,6565,29,3194,3371,2420,3173,278,437,8.337075174,1.791009942,3.330872597,50.99821331
2012-13,E92000001,England,England,National,45 and over,B,504,398,106,104,2,150,0,77,73,86,122,13,27,10.77752117,2.266700881,3.207595586,37.68844221
2012-13,E92000001,England,England,National,45 and over,C1,10710,8549,2138,2044,94,4598,23,2252,2346,1597,1950,164,240,7.822114454,1.561501466,3.358177615,53.78406831
2012-13,E92000001,England,England,National,45 and over,C2,1078,889,188,181,7,443,1,204,239,160,223,25,38,11.81525242,2.060544948,4.855433043,49.83127109
2012-13,E92000001,England,England,National,45 and over,D,26,12,14,14,0,10,0,7,3,0,2,0,0,24.07407407,12.96296296,9.259259259,83.33333333
2012-13,E92000001,England,England,National,45 and over,E,213,162,49,48,1,61,2,27,34,17,63,8,13,13.13841599,3.022452504,3.762644954,37.65432099
2012-13,E92000001,England,England,National,45 and over,F1,809,679,130,128,2,338,0,146,192,142,158,14,27,12.97181156,2.084469102,5.419619665,49.77908689
2012-13,E92000001,England,England,National,45 and over,F2,296,247,48,47,1,103,1,51,52,40,79,7,18,22.51978089,3.65185636,7.836275107,41.70040486
2012-13,E92000001,England,England,National,45-49,A,1052,700,351,343,8,297,1,145,152,142,219,18,24,6.814001088,2.273492759,1.923724642,42.42857143
2012-13,E92000001,England,England,National,45-49,A to F2,1103,741,361,352,9,317,1,154,163,149,230,20,25,6.86009267,2.245234319,1.971576951,42.78002699
2012-13,E92000001,England,England,National,45-49,B,5,5,0,0,0,0,0,0,0,2,3,0,0,7.142857143,0,0,0
2012-13,E92000001,England,England,National,45-49,C1,19,16,3,2,1,9,0,4,5,3,2,2,0,5.909797823,0.933125972,2.799377916,56.25
2012-13,E92000001,England,England,National,45-49,C2,1,0,1,1,0,0,0,0,0,0,0,0,0,5.464480874,5.464480874,0,z
2012-13,E92000001,England,England,National,45-49,D,1,0,1,1,0,0,0,0,0,0,0,0,0,17.54385965,17.54385965,0,z
2012-13,E92000001,England,England,National,45-49,E,25,20,5,5,0,11,0,5,6,2,6,0,1,11.46263182,2.292526364,5.043558001,55
2012-13,E92000001,England,England,National,45-49,F1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,z
2012-13,E92000001,England,England,National,45-49,F2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,z
2012-13,E92000001,England,England,National,45-74,A,2796,1937,857,829,28,862,2,430,432,378,576,47,74,7.537302368,2.310253265,2.323731989,44.50180692
2012-13,E92000001,England,England,National,45-74,A to F2,15912,12427,3457,3324,133,6363,28,3097,3266,2339,3049,270,406,8.195450577,1.780522414,3.277253144,51.20302567
2012-13,E92000001,England,England,National,45-74,B,504,398,106,104,2,150,0,77,73,86,122,13,27,10.77775164,2.266749353,3.207664179,37.68844221
2012-13,E92000001,England,England,National,45-74,C1,10710,8549,2138,2044,94,4598,23,2252,2346,1597,1950,164,240,7.822120167,1.561502607,3.358180068,53.78406831
2012-13,E92000001,England,England,National,45-74,C2,1078,889,188,181,7,443,1,204,239,160,223,25,38,11.81551142,2.060590118,4.85553948,49.83127109
2012-13,E92000001,England,England,National,45-74,D,25,12,13,13,0,10,0,7,3,0,2,0,0,23.76425856,12.35741445,9.505703422,83.33333333
2012-13,E92000001,England,England,National,45-74,E,188,139,48,47,1,54,1,25,29,14,56,7,8,12.20699955,3.116680735,3.506265827,38.84892086
2012-13,E92000001,England,England,National,45-74,F1,495,408,87,87,0,203,0,84,119,91,90,11,13,12.2640107,2.15549279,5.029483177,49.75490196
2012-13,E92000001,England,England,National,45-74,F2,116,95,20,19,1,43,1,18,25,13,30,3,6,17.5704332,3.029385035,6.513177825,45.26315789
2012-13,E92000001,England,England,National,50-52,A,1644,1166,477,460,17,536,1,272,264,224,337,26,43,7.926520576,2.299848123,2.584315711,45.96912521
2012-13,E92000001,England,England,National,50-52,A to F2,2103,1499,602,581,21,681,2,349,332,292,431,40,55,7.469472129,2.138194114,2.418787694,45.43028686
2012-13,E92000001,England,England,National,50-52,B,71,58,13,12,1,23,0,11,12,9,18,4,4,8.681829298,1.589630717,2.812423575,39.65517241
