CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Rate_benign_biopsy,Rate_benign_biopsy_warning,Non-op_diag_rate_invasive,Non-op_diag_rate_non-invasive,Rate_non_op_diagnosis,Rate_non_op_diagnosis_warning,Rate_small_invasive,Rate_small_invasive_warning,SDR,SDR_warning
2011-12,E92000001,England,England,National,50<71,A to F2,0.68962434629359,,:,:,96.115720684338000,,not included,not included,not included,not included
2012-13,E92000001,England,England,National,50<71,A to F2,0.67081191030053,,:,:,96.709389400921600,,not included,not included,not included,not included
2013-14,E92000001,England,England,National,50<71,A to F2,0.60324157622279,,:,:,96.990756359220000,,not included,not included,not included,not included
2014-15,E92000001,England,England,National,50<71,A to F2,0.52470134634355,,:,:,97.325089051683500,,not included,not included,not included,not included
2015-16,E92000001,England,England,National,50<71,A to F2,0.46380950564229,,:,:,97.505293806246700,,not included,not included,not included,not included
2016-17,E92000001,England,England,National,50<71,A to F2,0.40200983704282,,:,:,97.845931568923600,,not included,not included,not included,not included
2017-18,E92000001,England,England,National,50<71,A to F2,0.36096476831187,,:,:,98.007513752851200,,not included,not included,not included,not included
2018-19,E92000001,England,England,National,50<71,A to F2,0.30410987361236,,:,:,98.246647039581200,,not included,not included,not included,not included
2019-20,E92000001,England,England,National,50<71,A to F2,0.26970729402944,,:,:,98.862320321547800,,not included,not included,not included,not included
2020-21,E92000001,England,England,National,50<71,A to F2,0.27867957852178,,:,:,98.707331852151000,,not included,not included,not included,not included
2021-22,E92000001,England,England,National,50<71,A to F2,0.299408607342353,,:,:,98.4790239010529,,not included,not included,not included,not included
2011-12,E92000001,England,England,National,50<71,A and B,1.72543162977167,,not included,not included,92.445414847161500,,2.77301511927589,,1.51799128262735,
2012-13,E92000001,England,England,National,50<71,A and B,1.68898310254376,,not included,not included,93.512304250559200,,2.72219849935948,,1.51715947537746,
2013-14,E92000001,England,England,National,50<71,A and B,1.58919659457872,,not included,not included,93.873268988669700,,2.95136510421763,,1.62162134384103,
2014-15,E92000001,England,England,National,50<71,A and B,1.50607464089139,,not included,not included,94.470046082949300,,3.10444354946972,,1.60900197935295,
2015-16,E92000001,England,England,National,50<71,A and B,1.25643253358283,,not included,not included,95.547594677584400,,3.08761611976207,,1.51311705985578,
2016-17,E92000001,England,England,National,50<71,A and B,1.06611303603742,,not included,not included,95.892494929006000,,3.15157976442642,,1.59449374198400,
2017-18,E92000001,England,England,National,50<71,A and B,0.93143907336835,,not included,not included,95.978260869565200,,3.08476596341347,,1.58808265840974,
2018-19,E92000001,England,England,National,50<71,A and B,0.80372851618974,,not included,not included,97.013333333333300,,3.03358507025273,,1.52892909837907,
2019-20,E92000001,England,England,National,50<71,A and B,0.63080362526554,,not included,not included,98.240938166311300,,2.70874497908143,,1.46958767359517,
2020-21,E92000001,England,England,National,50<71,A and B,0.62309178141940,,not included,not included,97.728937728937700,,2.87314543654502,,1.64671101764296,
2021-22,E92000001,England,England,National,50<71,A and B,0.658529228076287,,not included,not included,97.7294228949858,,2.71059127427529,,1.28957181129997,
2011-12,E92000001,England,England,National,50<71,C1 and C2,0.47055683978853,,not included,not included,96.873567433758100,,3.31589978203920,,1.50589419929674,
2012-13,E92000001,England,England,National,50<71,C1 and C2,0.46081350926830,,not included,not included,97.330248286909300,,3.41044468149717,,1.54263801315919,
2013-14,E92000001,England,England,National,50<71,C1 and C2,0.41770244667852,,not included,not included,97.580712438475000,,3.41553120766185,,1.57373829345598,
2014-15,E92000001,England,England,National,50<71,C1 and C2,0.36006633148565,,not included,not included,97.893017558187000,,3.41369309135114,,1.56053606012892,
2015-16,E92000001,England,England,National,50<71,C1 and C2,0.34470608061526,,not included,not included,97.861595518030400,,3.46940286693323,,1.58648794815795,
2016-17,E92000001,England,England,National,50<71,C1 and C2,0.30622627360060,,not included,not included,98.190045248868700,,3.42740228068000,,1.54949002221159,
2017-18,E92000001,England,England,National,50<71,C1 and C2,0.27955264039039,,not included,not included,98.319460959175500,,3.30563144659382,,1.54910778761515,
2018-19,E92000001,England,England,National,50<71,C1 and C2,0.23005939997284,,not included,not included,98.439925488978500,,3.37399783086851,,1.56297320474246,
2019-20,E92000001,England,England,National,50<71,C1 and C2,0.21735052873843,,not included,not included,99.013264315755400,,3.23744563068406,,1.53053200647815,
2020-21,E92000001,England,England,National,50<71,C1 and C2,0.22185388788272,,not included,not included,98.940187598976700,,3.47393323477901,,1.70370426895580,
2021-22,E92000001,England,England,National,50<71,C1 and C2,0.241470625098456,,not included,not included,98.5947537473233,,3.32597039570136,,1.38419529791129,
2011-12,R1,North East,North East,Region,50<71,A to F2,0.50878137077442,,:,:,96.336996336996300,,not included,not included,not included,not included
2011-12,R10,South West,South West,Region,50<71,A to F2,0.72739364465781,,:,:,95.531088082901500,,not included,not included,not included,not included
2011-12,R2,North West,North West,Region,50<71,A to F2,0.72379582503504,,:,:,96.996662958843100,,not included,not included,not included,not included
2011-12,R3,Yorkshire and the Humber,Yorkshire and the Humber,Region,50<71,A to F2,0.43489412000847,,:,:,97.081413210445400,,not included,not included,not included,not included
2011-12,R4,East Midlands,East Midlands,Region,50<71,A to F2,0.59822314996309,,:,:,96.989966555183900,,not included,not included,not included,not included
2011-12,R5,West Midlands,West Midlands,Region,50<71,A to F2,0.59318519451750,,:,:,95.879659908436800,,not included,not included,not included,not included
2011-12,R6,East of England,East of England,Region,50<71,A to F2,0.90989417878106,,:,:,94.824016563147000,,not included,not included,not included,not included
2011-12,R7,London,London,Region,50<71,A to F2,0.71724985911163,,:,:,96.303501945525300,,not included,not included,not included,not included
2011-12,R8,South East,South East,Region,50<71,A to F2,0.80659466442650,,:,:,95.614754098360600,,not included,not included,not included,not included
2012-13,R1,North East,North East,Region,50<71,A to F2,0.57683094942464,,:,:,97.903822441430300,,not included,not included,not included,not included
2012-13,R10,South West,South West,Region,50<71,A to F2,0.71146655587869,,:,:,96.963824289405700,,not included,not included,not included,not included
2012-13,R2,North West,North West,Region,50<71,A to F2,0.64838166796184,,:,:,97.428404441846800,,not included,not included,not included,not included
2012-13,R3,Yorkshire and the Humber,Yorkshire and the Humber,Region,50<71,A to F2,0.39066372016816,,:,:,96.926536731634100,,not included,not included,not included,not included
2012-13,R4,East Midlands,East Midlands,Region,50<71,A to F2,0.53370475713179,,:,:,96.692913385826700,,not included,not included,not included,not included
2012-13,R5,West Midlands,West Midlands,Region,50<71,A to F2,0.64581752425852,,:,:,97.121315969842300,,not included,not included,not included,not included
