CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Screened,Invited,Uptake
2012-13,E92000001,England,England,National,45-49,A,154388.0,222741.0,69.31278929339457
2012-13,E92000001,England,England,National,45-49,A and C1,157603.0,226792.0,69.49231013439628
2012-13,E92000001,England,England,National,45-49,A to C2,158486.0,229198.0,69.1480728453128
2012-13,E92000001,England,England,National,45-49,A to D,158543.0,229255.0,69.15574360428344
2012-13,E92000001,England,England,National,45-49,B,700.0,2119.0,33.03445021236433
2012-13,E92000001,England,England,National,45-49,C1,3215.0,4051.0,79.3631202172303
2012-13,E92000001,England,England,National,45-49,C2,183.0,287.0,63.76306620209059
2012-13,E92000001,England,England,National,45-49,D,57.0,57.0,100.0
2012-13,E92000001,England,England,National,45-74,A,370955.0,542643.0,68.36078231913064
2012-13,E92000001,England,England,National,45-74,A and C1,1740149.0,2126483.0,81.83225541892412
2012-13,E92000001,England,England,National,45-74,A to C2,1878148.0,2616852.0,71.77127327032633
2012-13,E92000001,England,England,National,45-74,A to D,1879200.0,2617911.0,71.78242499458538
2012-13,E92000001,England,England,National,45-74,B,46763.0,265750.0,17.596613358419567
2012-13,E92000001,England,England,National,45-74,C1,1369194.0,1583840.0,86.44774724719669
2012-13,E92000001,England,England,National,45-74,C2,91236.0,224619.0,40.618113338586674
2012-13,E92000001,England,England,National,45-74,D,1052.0,1059.0,99.33899905571295
2012-13,E92000001,England,England,National,50-52,A,207405.0,289622.0,71.61230845723045
2012-13,E92000001,England,England,National,50-52,A and C1,264897.0,358963.0,73.79507080116893
2012-13,E92000001,England,England,National,50-52,A to C2,274251.0,385578.0,71.12724273687815
2012-13,E92000001,England,England,National,50-52,A to D,274528.0,385855.0,71.14797009239223
2012-13,E92000001,England,England,National,50-52,B,8178.0,24793.0,32.98511676682935
2012-13,E92000001,England,England,National,50-52,C1,57492.0,69341.0,82.91198569388962
2012-13,E92000001,England,England,National,50-52,C2,1176.0,1822.0,64.54445664105378
2012-13,E92000001,England,England,National,50-52,D,277.0,277.0,100.0
2012-13,E92000001,England,England,National,50<71,A,216478.0,319575.0,67.7393413126809
2012-13,E92000001,England,England,National,50<71,A and C1,1542651.0,1851687.0,83.31057030696873
2012-13,E92000001,England,England,National,50<71,A to C2,1675007.0,2320659.0,72.1780752794788
2012-13,E92000001,England,England,National,50<71,A to D,1675965.0,2321624.0,72.18933815294811
2012-13,E92000001,England,England,National,50<71,B,45810.0,258426.0,17.726544542731766
2012-13,E92000001,England,England,National,50<71,C1,1326173.0,1532112.0,86.55848919661226
2012-13,E92000001,England,England,National,50<71,C2,86546.0,210546.0,41.105506635129615
2012-13,E92000001,England,England,National,50<71,D,958.0,965.0,99.27461139896373
2012-13,E92000001,England,England,National,53-54,A,2725.0,7312.0,37.26750547045952
2012-13,E92000001,England,England,National,53-54,A and C1,160496.0,194468.0,82.5308019828455
2012-13,E92000001,England,England,National,53-54,A to C2,179881.0,255753.0,70.3338768264693
2012-13,E92000001,England,England,National,53-54,A to D,180020.0,255893.0,70.34971648306127
2012-13,E92000001,England,England,National,53-54,B,16904.0,57291.0,29.505506973172054
2012-13,E92000001,England,England,National,53-54,C1,157771.0,187156.0,84.29919425505994
2012-13,E92000001,England,England,National,53-54,C2,2481.0,3994.0,62.118177265898844
2012-13,E92000001,England,England,National,53-54,D,139.0,140.0,99.28571428571429
2012-13,E92000001,England,England,National,55-59,A,3042.0,10361.0,29.36010037641154
2012-13,E92000001,England,England,National,55-59,A and C1,363312.0,428849.0,84.71793102000937
2012-13,E92000001,England,England,National,55-59,A to C2,402607.0,561110.0,71.75188465719734
2012-13,E92000001,England,England,National,55-59,A to D,402791.0,561298.0,71.76063338903755
2012-13,E92000001,England,England,National,55-59,B,13211.0,79427.0,16.632883024664157
2012-13,E92000001,England,England,National,55-59,C1,360270.0,418488.0,86.0884899925446
2012-13,E92000001,England,England,National,55-59,C2,26084.0,52834.0,49.369724041337015
2012-13,E92000001,England,England,National,55-59,D,184.0,188.0,97.87234042553192
2012-13,E92000001,England,England,National,60-64,A,1931.0,7218.0,26.75256303685231
2012-13,E92000001,England,England,National,60-64,A and C1,365059.0,422226.0,86.4605685107028
2012-13,E92000001,England,England,National,60-64,A to C2,398263.0,543288.0,73.30605498372871
