CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Name,Org_Type,Age_Band,Table_Code,Initial_referred,Percent_assessment,Referral_cyt_bio,Open_biop_total,Final_STR,Percent_STR
2012-13,E92000001,England,England,National,45 and over,A,28241.0,7.613032273369348,12677.0,844.0,380.0,0.1024380249948781
2012-13,E92000001,England,England,National,45 and over,A to F2,81876.0,4.154128328652861,37573.0,2066.0,1025.0,0.05200524618776176
2012-13,E92000001,England,England,National,45 and over,B,3684.0,7.877854760071851,1760.0,95.0,45.0,0.0962278675904542
2012-13,E92000001,England,England,National,45 and over,C1,40167.0,2.933621580563762,18614.0,884.0,426.0,0.031113172338490865
2012-13,E92000001,England,England,National,45 and over,C2,4267.0,4.676779412087069,2096.0,120.0,61.0,0.06685810736754423
2012-13,E92000001,England,England,National,45 and over,D,1046.0,96.85185185185186,167.0,23.0,63.0,5.833333333333333
2012-13,E92000001,England,England,National,45 and over,E,1333.0,8.222304465827781,608.0,40.0,14.0,0.08635578583765112
2012-13,E92000001,England,England,National,45 and over,F1,2326.0,3.729596254369368,1201.0,44.0,21.0,0.0336721931821826
2012-13,E92000001,England,England,National,45 and over,F2,812.0,6.17772367620207,450.0,16.0,15.0,0.11412051125989045
2012-13,E92000001,England,England,National,45-49,A,11439.0,7.4092546052802035,4882.0,343.0,143.0,0.09262377905018525
2012-13,E92000001,England,England,National,45-49,A to F2,11851.0,7.3707124420810395,5036.0,359.0,148.0,0.09204838759834562
2012-13,E92000001,England,England,National,45-49,B,46.0,6.571428571428571,19.0,2.0,1.0,0.14285714285714285
2012-13,E92000001,England,England,National,45-49,C1,144.0,4.47900466562986,55.0,5.0,1.0,0.031104199066874026
2012-13,E92000001,England,England,National,45-49,C2,7.0,3.825136612021858,4.0,1.0,1.0,0.546448087431694
2012-13,E92000001,England,England,National,45-49,D,52.0,91.22807017543859,9.0,4.0,1.0,1.7543859649122806
2012-13,E92000001,England,England,National,45-49,E,159.0,7.290233837689134,66.0,4.0,1.0,0.04585052728106373
2012-13,E92000001,England,England,National,45-49,F1,4.0,6.896551724137931,1.0,0.0,0.0,0.0
2012-13,E92000001,England,England,National,45-49,F2,0.0,0.0,0.0,0.0,0.0,0.0
2012-13,E92000001,England,England,National,45-74,A,28241.0,7.61305279616126,12677.0,844.0,380.0,0.10243830114164791
2012-13,E92000001,England,England,National,45-74,A to F2,80509.0,4.146603384383217,36827.0,2051.0,997.0,0.05135032821461038
2012-13,E92000001,England,England,National,45-74,B,3684.0,7.878023223488656,1760.0,95.0,45.0,0.09622992536834676
2012-13,E92000001,England,England,National,45-74,C1,40167.0,2.933623723153914,18614.0,884.0,426.0,0.03111319506220448
2012-13,E92000001,England,England,National,45-74,C2,4267.0,4.676881932570477,2096.0,120.0,61.0,0.06685957297557982
2012-13,E92000001,England,England,National,45-74,D,1022.0,97.14828897338404,164.0,23.0,60.0,5.7034220532319395
2012-13,E92000001,England,England,National,45-74,E,1256.0,8.15531458996169,566.0,40.0,10.0,0.06493084864619181
2012-13,E92000001,England,England,National,45-74,F1,1526.0,3.7807839056538324,765.0,34.0,12.0,0.029730935037906938
2012-13,E92000001,England,England,National,45-74,F2,346.0,5.2408361102696155,185.0,11.0,3.0,0.04544077552256892
2012-13,E92000001,England,England,National,50-52,A,16113.0,7.768858031387864,7475.0,487.0,230.0,0.11089414430703214
2012-13,E92000001,England,England,National,50-52,A to F2,19754.0,7.016260220354756,8862.0,581.0,288.0,0.10229234299190895
2012-13,E92000001,England,England,National,50-52,B,641.0,7.838102225483003,312.0,17.0,3.0,0.036683785766691124
2012-13,E92000001,England,England,National,50-52,C1,2041.0,3.5500591386627707,733.0,50.0,28.0,0.04870242816391846
2012-13,E92000001,England,England,National,50-52,C2,70.0,5.952380952380952,27.0,3.0,1.0,0.08503401360544217
2012-13,E92000001,England,England,National,50-52,D,272.0,98.19494584837545,40.0,2.0,20.0,7.2202166064981945
2012-13,E92000001,England,England,National,50-52,E,596.0,9.09368324687214,268.0,21.0,6.0,0.091547146780592
2012-13,E92000001,England,England,National,50-52,F1,20.0,4.4543429844097995,6.0,1.0,0.0,0.0
2012-13,E92000001,England,England,National,50-52,F2,1.0,6.666666666666667,1.0,0.0,0.0,0.0
2012-13,E92000001,England,England,National,50<71,A,16796.0,7.758756086068792,7791.0,501.0,237.0,0.10947994715398332
2012-13,E92000001,England,England,National,50<71,A to F2,66116.0,3.8633623921105977,30411.0,1624.0,827.0,0.04832416810265994
2012-13,E92000001,England,England,National,50<71,B,3614.0,7.889107181838026,1731.0,92.0,44.0,0.09604889762060685
2012-13,E92000001,England,England,National,50<71,C1,38729.0,2.920358052833228,17881.0,848.0,414.0,0.031217646566473606
2012-13,E92000001,England,England,National,50<71,C2,4049.0,4.678436900607769,1966.0,114.0,59.0,0.06817183925311396
2012-13,E92000001,England,England,National,50<71,D,934.0,97.4947807933194,146.0,19.0,58.0,6.05427974947808
2012-13,E92000001,England,England,National,50<71,E,1069.0,8.354826103946854,487.0,34.0,9.0,0.07033997655334115
2012-13,E92000001,England,England,National,50<71,F1,750.0,3.8963063016260584,316.0,12.0,3.0,0.015585225206504233
2012-13,E92000001,England,England,National,50<71,F2,175.0,5.223880597014925,93.0,4.0,3.0,0.08955223880597014
2012-13,E92000001,England,England,National,53-54,A,215.0,7.889908256880735,98.0,2.0,0.0,0.0
2012-13,E92000001,England,England,National,53-54,A to F2,6890.0,3.740316705481274,2783.0,187.0,91.0,0.049400409317677196
2012-13,E92000001,England,England,National,53-54,B,1317.0,7.791055371509701,608.0,37.0,17.0,0.10056791292001893
2012-13,E92000001,England,England,National,53-54,C1,4858.0,3.0791463576956475,1918.0,133.0,65.0,0.04119895291276597
2012-13,E92000001,England,England,National,53-54,C2,117.0,4.71584038694075,46.0,5.0,1.0,0.04030632809351068
2012-13,E92000001,England,England,National,53-54,D,138.0,99.28057553956835,20.0,3.0,6.0,4.316546762589928
2012-13,E92000001,England,England,National,53-54,E,147.0,7.515337423312883,61.0,4.0,1.0,0.051124744376278126
2012-13,E92000001,England,England,National,53-54,F1,92.0,4.159132007233273,30.0,3.0,1.0,0.045207956600361664
2012-13,E92000001,England,England,National,53-54,F2,6.0,28.57142857142857,2.0,0.0,0.0,0.0
2012-13,E92000001,England,England,National,55-59,A,231.0,7.593688362919132,96.0,3.0,6.0,0.19723865877712032
2012-13,E92000001,England,England,National,55-59,A to F2,12687.0,3.0824139380407347,5541.0,295.0,129.0,0.031341640892823736
2012-13,E92000001,England,England,National,55-59,B,1037.0,7.849519339943986,501.0,21.0,14.0,0.10597229581409433
2012-13,E92000001,England,England,National,55-59,C1,9761.0,2.709356871235462,4272.0,231.0,88.0,0.024426124850806342
2012-13,E92000001,England,England,National,55-59,C2,1046.0,4.010121147063334,458.0,25.0,10.0,0.038337678270203956
2012-13,E92000001,England,England,National,55-59,D,179.0,97.28260869565217,27.0,4.0,8.0,4.3478260869565215
2012-13,E92000001,England,England,National,55-59,E,176.0,8.635917566241414,88.0,6.0,0.0,0.0
2012-13,E92000001,England,England,National,55-59,F1,221.0,3.768115942028986,81.0,3.0,2.0,0.03410059676044331
2012-13,E92000001,England,England,National,55-59,F2,36.0,4.004449388209121,18.0,2.0,1.0,0.11123470522803114
2012-13,E92000001,England,England,National,60-64,A,143.0,7.405489383738996,76.0,6.0,0.0,0.0
2012-13,E92000001,England,England,National,60-64,A to F2,12688.0,3.127626794848093,6083.0,277.0,142.0,0.03500338941270722
2012-13,E92000001,England,England,National,60-64,B,375.0,7.855048177628824,190.0,13.0,6.0,0.12568077084206117
2012-13,E92000001,England,England,National,60-64,C1,10341.0,2.847756163116036,4967.0,209.0,104.0,0.02864003877420634
2012-13,E92000001,England,England,National,60-64,C2,1350.0,4.748505100246219,668.0,40.0,23.0,0.0809004572634541
